grid_index,up_passengers,off_passengers
496,1888,4915
497,2030,6093
498,1142,6402
499,649,2942
500,72,151
501,45,813
502,85,1125
503,24,809
504,28,582
505,16,612
506,2,166
507,9,445
508,18,359
509,21,257
510,41,128
511,30,222
512,9,199
513,185,767
514,279,1194
515,660,1857
516,263412,240960
517,572708,482922
518,617597,485598
519,77208,124362
520,2770,14330
521,18958,41679
522,4759,27911
523,265,1402
524,31,264
525,145,997
526,388,2156
527,277,2188
528,20,1506
529,309,2290
530,627,5383
531,1388,8088
532,793,3742
533,165,1201
534,262,1786
535,76,1148
536,40,863
537,27,588
538,56,334
539,69,540
540,14,360
541,9,358
542,15,236
543,22,144
544,4,114
545,85,386
546,80,335
547,97098,81407
548,386629,412178
549,69192,81145
550,32285,54636
551,2686,19245
552,12540,38947
553,32868,46865
554,12857,34858
555,2541,7154
556,1766,4758
557,213,3403
558,285,3769
559,47,693
560,30,912
561,27,646
562,199,1181
563,41,1140
564,554,3329
565,801,2669
566,514,2226
567,356,1513
568,229,1633
569,74,840
570,10,439
571,549,859
572,9,326
573,5,263
574,34,134
575,0,34
576,1,41
577,0,5
578,8,9
579,7436,12803
580,90741,99449
581,4885,21011
582,28521,56791
583,1433,6491
584,1869,9722
585,2458,8781
586,3125,12342
587,5878,18362
588,2459,15025
589,909,8585
590,292,3798
591,73,1426
592,30,527
593,17,482
594,166,980
595,32,756
596,141,1229
597,244,1108
598,1671,2067
599,191,1610
600,42,398
601,19,350
602,17,260
603,5,342
604,16,354
605,11,240
606,0,131
607,2,34
608,0,39
609,0,0
610,0,0
611,13,15
612,519,1030
613,18438,34920
614,22989,47495
615,25660,33650
616,6692,28746
617,5180,22350
618,1577,13377
619,1211,10850
620,1332,9318
621,722,8548
622,85,1005
623,16,212
624,60,425
625,61,1044
626,109,1254
627,88,1057
628,50,930
629,206,1107
630,941,1072
631,726,923
632,41,410
633,28,339
634,11,203
635,12,309
636,6,247
637,61,844
638,21,158
639,11,46
640,6,60
641,2,2
642,1,1
643,105,892
644,783,5205
645,9687,14017
646,8001,16179
647,14500,36082
648,4763,22179
649,4541,22236
650,1939,11410
651,1104,5502
652,505,3255
653,416,2384
654,177,671
655,146,1076
656,116,842
657,217,1041
658,67,483
659,176,1039
660,98,847
661,48,543
662,54,562
663,1924,1176
664,42,439
665,33,415
666,47,534
667,35,320
668,14,323
669,6,338
670,11,158
671,0,67
672,8,84
673,2,3
674,1,1
675,0,1
676,7,41
677,1038,4825
678,4421,19630
679,1660,14691
680,1008,2983
681,1544,10910
682,549,5239
683,611,3942
684,407,1908
685,187,1047
686,237,962
687,205,1114
688,81,722
689,75,381
690,55,355
691,44,624
692,71,421
693,85,522
694,124,560
695,2129,5457
696,1236,3072
697,167,2644
698,101,620
699,29,384
700,9,376
701,30,362
702,19,283
703,23,147
704,5,64
705,5,7
706,1,2
707,286,656
708,661,4028
709,455,2371
710,26,412
711,632,7033
712,872,5957
713,1463,8018
714,234,2340
715,159,1015
716,146,1188
717,128,925
718,70,353
719,95,560
720,59,559
721,80,211
722,6,35
723,0,221
724,26,220
725,0,20
726,5,98
727,3185,2844
728,52240,23546
729,41501,14322
730,45,67
731,14,96
732,9,124
733,3,300
734,13,224
735,1,77
736,2,50
737,3,19
738,36,1690
739,310,2539
740,172,2270
741,132,2327
742,132,1577
743,1206,5323
744,968,5237
745,833,4458
746,298,1886
747,94,634
748,119,559
749,57,618
750,136,720
751,36,501
752,28,244
753,0,1
754,3,0
755,10,6
756,1,0
757,0,0
758,1,0
759,1670,1136
760,101057,33861
761,211266,65464
762,15,6
763,27,29
764,3,214
765,5,70
766,0,183
767,6,161
768,4,85
769,10,365
770,156,3562
771,256,3426
772,130,1214
773,39,780
774,42,833
775,211,1488
776,455,2520
777,166,1922
778,437,1905
779,56,612
780,92,723
781,37,465
782,46,531
783,56,290
784,3,43
785,0,0
786,0,0
787,0,0
788,0,0
789,0,1
790,0,0
791,4,2
792,3,0
793,1,1
794,9,8
795,12,10
796,1,17
797,6,129
798,1,259
799,4,175
800,3,117
801,23,969
802,264,4253
803,111,1464
804,47,1135
805,49,981
806,64,1041
807,255,910
808,100,1372
809,42,1435
810,52,991
811,47,648
812,38,614
813,22,322
814,9,189
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,3
822,0,0
823,0,0
824,0,0
825,6,8
826,13,14
827,2,11
828,9,52
829,12,157
830,0,233
831,0,86
832,0,31
833,0,4
834,10,141
835,5,167
836,26,798
837,103,1153
838,53,888
839,107,1136
840,145,1474
841,109,1574
842,58,757
843,20,355
844,33,207
845,13,340
846,14,130
847,7,7
848,0,0
849,2,2
850,0,0
851,1,0
852,0,0
853,0,46
854,0,18
855,0,0
856,0,0
857,0,0
858,3,87
859,17,152
860,5,272
861,1,197
862,0,64
863,0,7
864,1,0
865,0,0
866,0,0
867,0,0
868,1,40
869,68,522
870,54,611
871,99,683
872,55,1049
873,87,1035
874,49,754
875,50,441
876,0,70
877,7,25
878,4,6
879,0,0
880,0,0
881,0,0
882,0,0
883,1,0
884,0,0
885,4,10
886,0,25
887,15,81
888,13,148
889,5,52
890,69,123
891,4,202
892,0,118
893,1,77
894,0,8
895,1,8
896,0,8
897,0,0
898,0,0
899,0,0
900,0,46
901,18,121
902,43,260
903,54,511
904,85,1199
905,147,1302
906,45,658
907,44,403
908,13,47
909,5,8
910,0,1
911,0,10
912,5,5
913,2,1
914,1,52
915,1,147
916,6,91
917,1,113
918,1,107
919,0,39
920,0,0
921,2,0
922,0,0
923,0,0
924,0,0
925,0,1
926,0,11
927,0,7
928,1,27
929,0,0
930,0,0
931,0,0
932,2,39
933,11,172
934,8,104
935,18,135
936,17,303
937,3,154
938,0,3
939,0,3
940,0,0
941,0,1
942,0,0
943,1,24
944,0,1
945,0,24
946,2,181
947,0,79
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,3
965,4,2
966,3,3
967,3,0
968,0,2
969,0,1
970,1,0
971,0,25
972,1,55
973,0,53
974,0,6
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,1,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,1
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,4,3
997,0,1
998,2,2
999,3,1
1000,0,0
1001,0,0
1002,0,0
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,0
1008,0,0
1009,0,0
1010,0,0
1011,0,1
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,0,0
1017,0,0
1018,0,0
1019,0,0
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
